Date, BTC Closing Value
Nov 24 2021, 50390.34
Nov 23 2021, 51188.46
Nov 22 2021, 50071.63
Nov 21 2021, 52087.06
Nov 20 2021, 52889.75
Nov 19 2021, 51492.03
Nov 18 2021, 50086.53
Nov 17 2021, 53339.00
Nov 16 2021, 53146.45
Nov 15 2021, 55914.40
